Episode,Score,Average Score,tau
1,-344.317544520752,,0.0001
2,-324.70903809970184,,0.0001
3,-181.01672547134865,,0.0001
4,-462.4652864157663,,0.0001
5,-635.4854574696155,,0.0001
6,-130.30573868675586,,0.0001
7,-124.90535450135857,,0.0001
8,-548.144488952332,,0.0001
9,-294.052414014251,,0.0001
10,-131.8866696338951,,0.0001
11,-43.54239040583086,,0.0001
12,-134.1271767226736,,0.0001
13,-152.94396305418857,,0.0001
14,-167.1461957378552,,0.0001
15,-126.87942337893608,,0.0001
16,-83.88048578856461,,0.0001
17,-117.774858341359,,0.0001
18,-160.1771859459206,,0.0001
19,-102.53361127637517,,0.0001
20,-93.81659119034893,,0.0001
21,-146.7713300750814,,0.0001
22,-113.38563896378834,,0.0001
23,-130.87539922316617,,0.0001
24,-119.19880093248531,,0.0001
25,-123.0808849160156,,0.0001
26,-115.4412775574446,,0.0001
27,-123.91040230038243,,0.0001
28,-89.03193629980109,,0.0001
29,-143.03292674817925,,0.0001
30,-159.86058916559915,,0.0001
31,-87.42832530533504,,0.0001
32,-100.55427641477425,,0.0001
33,-125.03447608445609,,0.0001
34,-148.73872517962454,,0.0001
35,-133.34581547091702,,0.0001
36,-142.66202754962262,,0.0001
37,-134.8037470253908,,0.0001
38,-135.92631227295638,,0.0001
39,-125.40060082521823,,0.0001
40,-130.4711361701182,,0.0001
41,-173.87231283797007,,0.0001
42,-143.98537869584166,,0.0001
43,-137.85905220985984,,0.0001
44,-171.19555643898994,,0.0001
45,-113.69447970677217,,0.0001
46,-182.9279126128827,,0.0001
47,-155.20782015967367,,0.0001
48,-76.31411154458348,,0.0001
49,-144.68353715905425,,0.0001
50,-112.32603767779128,,0.0001
51,-232.5427486823454,,0.0001
52,-106.30427606472105,,0.0001
53,-136.33546486068545,,0.0001
54,-128.8731316732474,,0.0001
55,-120.66143141777354,,0.0001
56,-126.05577787081081,,0.0001
57,-165.2390639597756,,0.0001
58,-148.84647287660812,,0.0001
59,-130.89776918922053,,0.0001
60,-201.66491934984282,,0.0001
61,-170.84823607394577,,0.0001
62,-129.60481272276402,,0.0001
63,-115.71797903824378,,0.0001
64,-49.653033137205796,,0.0001
65,-158.52283797861463,,0.0001
66,-128.88319269651186,,0.0001
67,-142.502943951994,,0.0001
68,-148.10748887220893,,0.0001
69,-120.12131388840572,,0.0001
70,-167.71965418526133,,0.0001
71,-157.66022334325027,,0.0001
72,-143.84268870825002,,0.0001
73,-140.57562814483063,,0.0001
74,-122.12163676434287,,0.0001
75,-138.13360777011735,,0.0001
76,-225.44350562046048,,0.0001
77,-121.96730051341272,,0.0001
78,-164.93398847668806,,0.0001
79,-208.75063598243278,,0.0001
80,-107.10559475327929,,0.0001
81,-162.8342638067045,,0.0001
82,-231.14097644932065,,0.0001
83,-200.6216590768867,,0.0001
84,-235.893000561942,,0.0001
85,-114.82749886900442,,0.0001
86,-151.81165550353282,,0.0001
87,-145.08537745316792,,0.0001
88,-20.352233113594508,,0.0001
89,-141.7226317203421,,0.0001
90,-199.40590202204186,,0.0001
91,-53.045827088528746,,0.0001
92,-179.68819070378206,,0.0001
93,-266.11111756343763,,0.0001
94,-166.11859474306806,,0.0001
95,-256.68689546069027,,0.0001
96,-125.1656260977654,,0.0001
97,-141.33345016715606,,0.0001
98,-253.27253722505174,,0.0001
99,-149.90972098510673,,0.0001
100,-202.80444717495948,-160.58600391484939,0.0001
101,-165.45404788093475,-158.7973689484512,0.0001
102,-119.25135919462949,-156.7427921594005,0.0001
