episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
42001,405,7,cramped_room,9.84,8.72,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,24,24,0,0,24,24,24,0,0,9,6,0,0,7,7,0,140,125,0.0,1.0,0.0,1.0,1.0
42002,348,6,cramped_room,9.8,8.706666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,24,24,3,0,21,21,21,0,0,8,5,0,0,6,6,0,120,108,0.0,1.0,0.0,1.0,1.0
42003,390,7,cramped_room,9.77,8.696666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,23,23,0,0,22,22,22,0,0,11,3,4,2,7,7,0,140,110,0.0,1.0,0.0,1.0,1.0
42004,422,7,cramped_room,9.74,8.686666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,26,26,26,0,0,8,8,0,0,8,7,0,140,142,0.0,1.0,0.0,1.0,1.0
42005,453,8,cramped_room,9.73,8.683333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,25,25,0,0,24,24,24,0,0,9,7,1,0,8,8,0,160,133,0.0,1.0,0.0,1.0,1.0
42006,408,7,cramped_room,9.71,8.676666666666668,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,25,25,1,1,24,24,24,0,0,9,7,1,0,7,7,0,140,128,0.0,1.0,0.0,1.0,1.0
42007,453,8,cramped_room,9.69,8.67,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,13,4,5,3,8,8,0,160,133,0.0,1.0,0.0,1.0,1.0
42008,462,8,cramped_room,9.67,8.663333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,31,4,0,27,27,27,0,0,8,7,0,0,8,8,0,160,142,0.0,1.0,0.0,1.0,1.0
42009,501,9,cramped_room,9.66,8.66,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,28,27,1,1,27,27,27,0,0,10,5,1,0,9,9,0,180,141,0.0,0.9736842105263157,0.0,1.0,1.0
42010,174,3,cramped_room,9.59,8.636666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,12,12,0,0,12,12,12,0,0,7,1,2,0,3,3,0,60,54,0.0,1.0,0.0,1.0,1.0
42011,459,8,cramped_room,9.57,8.63,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,10,6,2,0,8,8,0,160,139,0.0,1.0,0.0,1.0,1.0
42012,444,8,cramped_room,9.55,8.623333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,9,1,1,0,8,8,0,160,124,0.0,1.0,0.0,1.0,1.0
42013,444,8,cramped_room,9.54,8.62,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,9,1,1,0,8,8,0,160,124,0.0,1.0,0.0,1.0,1.0
42014,473,8,cramped_room,9.53,8.616666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,9,9,0,0,9,8,0,160,153,0.0,1.0,0.0,1.0,1.0
42015,507,9,cramped_room,9.53,8.616666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,28,28,0,0,28,28,28,0,0,10,6,1,0,9,9,0,180,147,0.0,1.0,0.0,1.0,1.0
42016,504,9,cramped_room,9.53,8.616666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,29,0,0,29,29,29,0,0,17,4,8,4,9,9,0,180,144,0.0,1.0,0.0,1.0,1.0
42017,462,8,cramped_room,9.51,8.61,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,11,7,2,2,8,8,0,160,142,0.0,1.0,0.0,1.0,1.0
42018,444,8,cramped_room,9.49,8.603333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,24,24,0,0,24,24,24,0,0,12,4,4,3,8,8,0,160,124,0.0,1.0,0.0,1.0,1.0
42019,435,8,cramped_room,9.47,8.596666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,26,24,2,2,24,24,24,0,0,16,1,6,1,8,8,0,160,115,0.0,0.9090909090909092,0.0,1.0,1.0
42020,498,9,cramped_room,9.46,8.593333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,29,0,0,28,28,28,0,0,11,3,2,1,9,9,0,180,138,0.0,1.0,0.0,1.0,1.0
42021,522,9,cramped_room,9.45,8.59,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42022,516,9,cramped_room,9.44,8.586666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,28,27,0,0,28,28,28,0,0,9,9,0,0,9,9,0,180,156,0.0,0.96875,0.0,1.0,1.0
42023,516,9,cramped_room,9.43,8.583333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,29,0,0,28,28,28,0,0,9,9,0,0,9,9,0,180,156,0.0,1.0,0.0,1.0,1.0
42024,504,9,cramped_room,9.42,8.58,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,12,3,2,1,9,9,0,180,144,0.0,1.0,0.0,1.0,1.0
42025,468,8,cramped_room,9.4,8.573333333333332,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,29,3,1,27,27,27,0,0,9,9,0,0,8,8,0,160,148,0.0,0.9666666666666667,0.0,1.0,1.0
42026,450,8,cramped_room,9.38,8.566666666666668,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,15,3,7,3,8,8,0,160,130,0.0,1.0,0.0,1.0,1.0
42027,516,9,cramped_room,9.37,8.563333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,29,0,0,28,28,28,0,0,9,9,0,0,9,9,0,180,156,0.0,1.0,0.0,1.0,1.0
42028,485,8,cramped_room,9.35,8.556666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,10,0,0,9,8,0,160,165,0.0,1.0,0.0,1.0,1.0
42029,522,9,cramped_room,9.34,8.553333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42030,501,9,cramped_room,9.34,8.553333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,15,2,6,2,9,9,0,180,141,0.0,1.0,0.0,1.0,1.0
42031,507,9,cramped_room,9.33,8.549999999999999,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,11,4,2,1,9,9,0,180,147,0.0,1.0,0.0,1.0,1.0
42032,294,5,cramped_room,9.28,8.533333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,20,20,1,0,18,18,18,0,0,7,5,1,0,5,5,0,100,94,0.0,1.0,0.0,1.0,1.0
42033,522,9,cramped_room,9.27,8.53,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,11,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42034,504,9,cramped_room,9.26,8.526666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,29,0,0,29,29,29,0,0,11,4,2,2,9,9,0,180,144,0.0,1.0,0.0,1.0,1.0
42035,462,8,cramped_room,9.24,8.520000000000001,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,10,7,2,1,8,8,0,160,142,0.0,1.0,0.0,1.0,1.0
42036,462,8,cramped_room,9.22,8.513333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,11,7,2,0,8,8,0,160,142,0.0,1.0,0.0,1.0,1.0
42037,501,9,cramped_room,9.21,8.51,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,30,1,1,30,30,30,0,0,14,2,5,2,9,9,0,180,141,0.0,0.96875,0.0,1.0,1.0
42038,456,8,cramped_room,9.19,8.503333333333332,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,12,5,3,1,8,8,0,160,136,0.0,1.0,0.0,1.0,1.0
42039,513,9,cramped_room,9.18,8.5,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,29,1,0,27,27,27,0,0,9,9,0,0,9,9,0,180,153,0.0,1.0,0.0,1.0,1.0
42040,450,8,cramped_room,9.16,8.493333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,28,27,1,1,27,27,27,0,0,12,3,4,1,8,8,0,160,130,0.0,0.96875,0.0,1.0,1.0
42041,498,9,cramped_room,9.15,8.49,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,18,1,9,2,9,9,0,180,138,0.0,1.0,0.0,1.0,1.0
42042,525,9,cramped_room,9.14,8.486666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,1.0,0.0,1.0,1.0
42043,461,8,cramped_room,9.12,8.479999999999999,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,16,5,6,2,9,8,0,160,141,0.0,1.0,0.0,1.0,1.0
42044,522,9,cramped_room,9.11,8.476666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42045,231,4,cramped_room,9.05,8.456666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,15,15,0,0,15,15,15,0,0,10,2,4,1,4,4,0,80,71,0.0,1.0,0.0,1.0,1.0
42046,507,9,cramped_room,9.04,8.453333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,4,1,0,9,9,0,180,147,0.0,1.0,0.0,1.0,1.0
42047,525,9,cramped_room,9.03,8.450000000000001,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,1.0,0.0,1.0,1.0
42048,510,9,cramped_room,9.02,8.446666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,16,5,7,3,9,9,0,180,150,0.0,1.0,0.0,1.0,1.0
42049,522,9,cramped_room,9.02,8.446666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42050,519,9,cramped_room,9.0,8.44,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,11,8,2,1,9,9,0,180,159,0.0,1.0,0.0,1.0,1.0
42051,510,9,cramped_room,8.99,8.436666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,29,0,0,28,28,28,0,0,12,7,3,1,9,9,0,180,150,0.0,1.0,0.0,1.0,1.0
42052,408,7,cramped_room,8.96,8.426666666666668,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,24,24,0,0,24,24,24,0,0,11,7,2,0,7,7,0,140,128,0.0,1.0,0.0,1.0,1.0
42053,522,9,cramped_room,8.95,8.423333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42054,513,9,cramped_room,8.94,8.42,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,12,6,3,2,9,9,0,180,153,0.0,1.0,0.0,1.0,1.0
42055,507,9,cramped_room,8.94,8.42,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,29,29,29,0,0,14,5,5,3,9,9,0,180,147,0.0,1.0,0.0,1.0,1.0
42056,513,9,cramped_room,8.93,8.416666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,29,0,0,28,28,28,0,0,9,8,0,0,9,9,0,180,153,0.0,1.0,0.0,1.0,1.0
42057,482,8,cramped_room,8.91,8.41,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,9,9,0,0,9,8,0,160,162,0.0,1.0,0.0,1.0,1.0
42058,522,9,cramped_room,8.9,8.406666666666666,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42059,489,9,cramped_room,8.89,8.403333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,28,28,0,0,27,27,27,0,0,15,1,6,2,9,9,0,180,129,0.0,1.0,0.0,1.0,1.0
42060,522,9,cramped_room,8.88,8.4,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42061,516,9,cramped_room,8.87,8.396666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,44,43,14,2,28,28,28,0,0,9,9,0,0,9,9,0,180,156,0.0,0.9736842105263157,0.0,1.0,1.0
42062,522,9,cramped_room,8.86,8.393333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42063,516,9,cramped_room,8.85,8.39,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,29,0,0,28,28,28,0,0,14,9,5,5,9,9,0,180,156,0.0,1.0,0.0,1.0,1.0
42064,461,8,cramped_room,8.83,8.383333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,27,27,0,0,27,27,27,0,0,14,5,5,3,9,8,0,160,141,0.0,1.0,0.0,1.0,1.0
42065,513,9,cramped_room,8.82,8.38,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,29,29,0,0,28,28,28,0,0,13,8,4,1,9,9,0,180,153,0.0,1.0,0.0,1.0,1.0
42066,525,9,cramped_room,8.81,8.376666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,10,10,0,0,9,9,0,180,165,0.0,1.0,0.0,1.0,1.0
42067,522,9,cramped_room,8.81,8.376666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42068,519,9,cramped_room,8.81,8.376666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,1,0,29,29,29,0,0,9,9,0,0,9,9,0,180,159,0.0,1.0,0.0,1.0,1.0
42069,498,9,cramped_room,8.8,8.373333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,17,1,8,3,9,9,0,180,138,0.0,1.0,0.0,1.0,1.0
42070,522,9,cramped_room,8.79,8.37,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,1.0,0.0,1.0,1.0
42071,495,9,cramped_room,8.78,8.366666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,28,28,0,0,27,27,27,0,0,16,3,7,4,9,9,0,180,135,0.0,1.0,0.0,1.0,1.0
42072,504,9,cramped_room,8.77,8.363333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,30,0,0,30,30,30,0,0,22,3,12,5,9,9,0,180,144,0.0,1.0,0.0,1.0,1.0
42073,570,10,cramped_room,8.77,8.363333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,28,0,0,30,30,30,0,0,11,10,1,1,10,10,0,200,170,0.0,0.9333333333333333,0.0,1.0,1.0
