episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
96001,510,9,cramped_room,10.24,8.913333333333332,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,30,1,1,30,30,30,0,0,10,5,1,0,9,9,0,180,150,0.0,0.9372549019607843,0.0,1.0,1.0
96002,530,9,cramped_room,10.23,8.91,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,29,0,0,30,30,30,0,0,10,10,0,0,10,9,0,180,170,0.0,0.9473684210526316,0.0,1.0,1.0
96003,519,9,cramped_room,10.22,8.906666666666668,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,38,35,8,4,29,29,29,0,0,9,9,0,0,9,9,0,180,159,0.0,0.9210526315789473,0.0,1.0,1.0
96004,587,10,cramped_room,10.22,8.906666666666668,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,34,1,0,33,33,33,0,0,11,11,0,0,11,10,0,200,187,0.0,0.9761904761904762,0.0,1.0,1.0
96005,516,9,cramped_room,10.21,8.903333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,32,29,1,0,30,30,30,0,0,12,7,3,1,9,9,0,180,156,0.0,0.9045454545454545,0.0,1.0,1.0
96006,522,9,cramped_room,10.2,8.9,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,30,29,0,0,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.9666666666666667,0.0,1.0,1.0
96007,522,9,cramped_room,10.19,8.896666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,29,1,1,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.9473684210526316,0.0,1.0,1.0
96008,570,10,cramped_room,10.18,8.893333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,31,29,0,0,30,30,30,0,0,10,10,0,0,10,10,0,200,170,0.0,0.9354166666666667,0.0,1.0,1.0
96009,533,9,cramped_room,10.17,8.889999999999999,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,32,2,1,31,31,31,0,0,10,10,0,0,10,10,0,180,173,0.0,0.9666666666666667,0.0,1.0,1.0
96010,576,10,cramped_room,10.17,8.889999999999999,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,34,1,0,32,32,32,0,0,10,10,0,0,10,10,0,200,176,0.0,1.0,0.0,1.0,1.0
